streetName,total
Tammikuja,37
Viertotie,37
Pirttiniementie,37
Oksatie,37
Rantakatu,37
Hirvijärventie,37
Simolantie,37
Ainontie,37
Sarkatie,36
Takatie,36
Savikontie,36
Holmantie,36
Sivutie,36
Ilvestie,36
Myllykyläntie,36
Sammontie,36
Sammaltie,36
Sipiläntie,36
Lintulantie,36
Pajakuja,36
Kalliorannantie,36
Karpalotie,36
Kenttätie,36
Ojatie,36
Marjamäentie,36
Puolukkapolku,35
Suvirannantie,35
Mustikkapolku,35
Pihatie,35
Saratie,35
Tuomikuja,35
Siltatie,35
Umpikuja,35
Rantamäentie,35
Palotie,35
Sairaalantie,35
Jaakontie,35
Ahjotie,35
Suorannantie,35
Marjatie,35
Villentie,35
Meijerintie,35
Särkilahdentie,35
Tervatie,35
Toukolantie,35
Ilomäentie,35
Teeritie,34
Kotaniementie,34
Suopellontie,34
Lohitie,34
Nurkkalantie,34
Haapamäentie,34
Kielotie,34
Kisatie,34
Urheilukentäntie,34
Nahkurintie,34
Kuusimäentie,34
Paavontie,34
Koulupolku,34
Mäntypolku,34
Harjukatu,34
Pappilankuja,34
Länsitie,34
Metsäpellontie,34
Oikopolku,34
Sammonkatu,34
Kangasniementie,34
Myllypurontie,34
Hiekkatie,33
Kaivokatu,33
Lähteenmäentie,33
Mäkikatu,33
Kannistontie,33
Kesäniementie,33
Ollintie,33
Rintalantie,33
Kivikuja,33
Hovintie,33
Hirvitie,33
Kaarnakuja,33
Hakamäentie,33
Mustaniementie,33
Takamaantie,33
Mustajärventie,33
Rautatienkatu,33
Kirkkokuja,32
Pentintie,32
Nummitie,32
Jokikuja,32
Viitalantie,32
Harjukuja,32
Suvannontie,32
Rajakatu,32
Alangontie,32
Siirtolantie,32
Puustellintie,32
Kievarintie,32
Ylitalontie,32
Kettulantie,32
Lähdekuja,32
Viertolantie,32
Välimaantie,32
Rasintie,32
Torpparintie,32
Tuomaantie,32
Mutkatie,32
Naavatie,32
Kalliopolku,31
Kalliorinteentie,31
Myllyojantie,31
Uudenkyläntie,31
Kukkulantie,31
Piilolantie,31
Kurkelantie,31
Käpyläntie,31
Teerentie,31
Alakyläntie,31
Rovaniementie,31
Palontie,31
Leppäläntie,31
Honkamäentie,31
Puhdistamontie,31
Karhuntie,31
Uusitie,31
Tuulentie,31
Vesitornintie,31
Hongistontie,31
Karjalankatu,31
Haukantie,31
Metsäkuja,30
Ahventie,30
Lampelantie,30
Kiviahontie,30
Kotiniementie,30
Vaahteratie,30
Peltomäentie,30
Niittymäentie,30
Yrjöntie,30
Haukilahdentie,30
Uitontie,30
Pirttimäentie,30
Peipontie,30
Tukkitie,30
Varastotie,30
Pekantie,30
Metsätähdentie,30
Kaukolantie,30
Kaivokuja,30
Savilahdentie,30
Puutarhakatu,30
Toritie,30
Valimontie,30
Sillanpääntie,30
Alatalontie,30
Sillankorvantie,30
Kotipellontie,29
Lahdenperäntie,29
Martintie,29
Lehdontie,29
Karhutie,29
Ketotie,29
Rantaniityntie,29
Juholantie,29
Honkakuja,29
Viljatie,29
Tuliniementie,29
Metsotie,29
Papintie,29
Pajamäentie,29
Mäentie,29
Hietalahdentie,29
Aapontie,29
Myllyniementie,29
Peltomaantie,29
